Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Linux - Liquid prompt,gHMQKZGjjiw,7.82,"Oct 12, 2013",278,200,1.39,17.76,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Python-Programmierung - OOP - Die Sache mit den Unterstrichen,LPTQ6ZKBkcc,5.43,"May 26, 2012",277,108,2.57,47.28,5,15,36,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Python-Programmierung - Fehlerbehandlung,6G02c2km4C0,6.50,"Jun 03, 2012",276,83,3.33,51.23,5,13,26,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taskwarrior - Reports,T9zT7zqu3pg,3.58,"Jul 22, 2013",276,243,1.13,31.66,5,2,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
Korora 20 (Peach) MATE - Demo,U1DQVLTvLnE,7.03,"Jan 14, 2014",275,250,1.10,15.64,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taskwarrior - erste Schritte,fEImlb_kYYg,6.87,"Sep 23, 2012",273,127,2.15,31.36,5,8,26,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Python-Programmierung - OOP - Klassen in Python (Teil 2),QWKvNwwjlnY,3.87,"Mar 16, 2012",273,153,1.78,46.15,5,15,27,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Linux - wmctrl - Fenster per Kommando steuern,C8dgLEVpDgY,6.37,"Sep 01, 2013",272,115,2.37,37.19,5,2,11,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - bash - Umleitungen,qZ1zu0Vqw6c,6.87,"Dec 13, 2011",271,91,2.98,43.44,5,12,40,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LibreOffice - Makro ansehen und bearbeiten,BjoTWQcpPWs,9.25,"Mar 04, 2014",269,81,3.32,35.90,4,3,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Screencast 071 - OpenOffice.org - Writer - Ein Dokument drucken,ZogRuOMIxtQ,3.98,"Jan 28, 2011",267,199,1.34,33.65,4,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnome 3.18 - Builder - Demo,ENjAe0k3Jyg,4.32,"Sep 26, 2015",266,294,0.90,20.96,4,29,27,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0
Python-Programmierung - Quelltextanalyse mit pylint,lD8nNJf73lA,3.22,"Feb 13, 2015",263,220,1.20,37.17,4,28,52,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,2,0,0,0,5,8,3,1,1,0
Python-Programmierung - subprocess - Pipes verwenden,qfS_prhpsUc,4.85,"Jan 12, 2014",262,194,1.35,27.88,4,4,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,2,154,1.30,17,154,11.04,154,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
"LibreOffice - Writer - Ausschneiden, Kopieren und Einfügen von Text",jMbsHEYQrKg,3.83,"Mar 07, 2012",252,191,1.32,34.49,4,1,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Listen-Index,vw3-jMTAaHQ,3.52,"Jan 09, 2014",252,128,1.97,56.06,4,23,45,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
Python-Programmierung - Module selbst gemacht,vot-qwt6TDM,3.23,"Feb 15, 2012",250,139,1.80,55.67,4,16,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slackel 5.0 ""Openbox"" edition - Demo",ImQhjors4T8,7.60,"Oct 17, 2013",249,214,1.16,15.31,4,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - Verschlüsselten Container erstellen für Genießer,v_ZA0zETUPM,7.52,"Mar 05, 2014",249,76,3.28,43.59,4,1,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,124,0.81,23,124,18.55,124,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Firefox - HTTPS Everywhere,i_d_O-GdUqQ,2.77,"Aug 07, 2011",247,259,0.95,34.42,4,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIMP - Bildschirm durchsichtig machen,U9uDblQ9SGk,6.02,"Mar 04, 2014",245,165,1.49,24.71,4,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,1,0,0,0,3,5,2,0,0,0
AngularJS - Schleifen (ng-repeat),V_FMev-Ab_A,4.97,"Mar 27, 2015",245,115,2.13,42.93,4,15,12,4,11,36.36,6,123,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,0,0,0,4,5,1,1,1,0
Daten verstecken - steghide (Steganografie),zepWrvtPgHA,7.08,"Jul 23, 2013",243,102,2.38,33.64,4,2,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Linux - das /proc-Dateisystem,xPR_eKkDoLo,4.70,"Nov 07, 2013",242,112,2.16,45.97,4,2,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gnome3 - Rückfall-Modus,QKkhUYuekMs,2.77,"Jan 09, 2014",236,144,1.64,59.24,4,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic Pi - Musik und Programmierung (Raspberry Pi),PzKs31SjVQ0,4.27,"Jun 03, 2015",234,164,1.43,33.40,4,53,97,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,1,1,0,4,10,6,0,0,0
LibreOffice - Writer - Seiten nummerieren,AkjFQ1NPv2g,2.15,"Oct 19, 2012",232,172,1.35,62.80,4,2,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Fusion Tables Tutorial - Beispiel WLAN-Standorte in Berlin auf Karte eintragen,RIaJlRzwqeM,10.82,"Jun 28, 2013",229,71,3.22,29.79,4,2,11,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geeksphone Revolution - Firefox OS installieren,xbNqD9jUGuw,4.30,"Apr 12, 2014",226,145,1.56,36.31,4,4,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grml 2013.09 - Demo,Vpcif-Zy4bA,4.25,"Oct 10, 2013",225,218,1.03,24.28,4,1,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LibreOffice - Calc - Umgang mit einer CSV-Datei,MZDeox4BSOk,5.00,"Aug 06, 2013",225,102,2.20,44.05,4,1,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
bottle - Dynamisches Routing,kCoJ-mE10FE,6.23,"Jun 05, 2012",221,112,1.97,31.59,4,13,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Präsentationen mit Markdown und remark.js,klnPM15jqg4,3.40,"Mar 25, 2015",220,146,1.51,44.40,4,21,49,1,2,50.00,2,86,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0
Tabellen von Webseiten kopieren,OqgfZviKnrw,5.53,"Jun 26, 2013",216,130,1.66,29.98,4,3,12,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,1,0,1,1,0,1,2,1,0,0,0
LibreOffice - Was ist Makro ?,qQErf8pu3Ms,2.22,"Feb 20, 2014",215,193,1.11,50.28,4,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Linux - encfs - Verzeichnis verschlüsseln,AkL2fd-Ec90,8.52,"Dec 14, 2011",214,86,2.49,29.27,4,4,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Firefox OS 1.3 Simulator installieren,5k7rOEiimuI,3.18,"Mar 15, 2014",214,141,1.52,47.67,4,5,16,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xubuntu 13.10 - Demo,1fHuNYHqv-Y,4.28,"Oct 19, 2013",206,146,1.41,32.93,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manjaro Linux 0.8.8 Openbox - Demo,WYhyqtvlB9k,5.78,"Nov 27, 2013",204,219,0.93,16.13,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,1,0,0,0,-1,0,1,1,1,0
Python-Programmierung - Funktionen (Teil 3),5AdJx3Coihg,3.18,"Sep 21, 2011",204,118,1.73,54.29,3,13,18,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Dictionaries (Teil 3),_d0OvgZFk7c,3.80,"Aug 21, 2011",204,98,2.08,54.76,3,10,23,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
openSUSE 13.1 RC2 - Demo,B3M19e7PuRk,9.07,"Nov 03, 2013",204,120,1.70,18.74,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTML und CSS - Ein Bild einfügen (img),diiikCQbmlA,4.02,"Apr 29, 2015",204,160,1.27,31.71,3,9,24,1,2,50.00,1,158,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,1,0,0,0,0,1,0,0,0,2,3,1,0,0,0
Ubuntu Mate 15.04 Beta 1 - Demo,WtRY2avyEHc,4.60,"Mar 02, 2015",203,179,1.14,24.68,3,15,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,5,1,1,0,2,2,0,0,0,0
sed - Erste Schritte mit regulären Ausdrücken,_JqALpNvDoY,7.58,"Jun 20, 2013",203,71,2.86,37.70,3,5,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,28,0.00,0,59,0.00,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easystroke - Desktop-Gesten für X11 (Gestensteuerung auf dem Desktop - Linux),B_ty42Sw1Ys,8.53,"Aug 22, 2013",202,90,2.24,26.27,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Dictionaries (Teil 2),iBmuLYjfGVw,3.63,"Aug 13, 2011",202,88,2.29,63.05,3,9,23,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redis - Publish-Subscribe,ZV-eDtNsyJU,2.87,"Oct 31, 2012",202,189,1.07,37.19,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
palava.tv testen und WebRTC ausprobieren (Demo),U5TZfi1LjDc,4.22,"Nov 04, 2013",198,106,1.86,44.21,3,1,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ffmpeg - Text in ein Video zeichnen (Videofilter drawtext),zyHFkgBQf7k,3.88,"Oct 09, 2013",197,167,1.18,30.44,3,2,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"R - Vektoren, ein Balkendiagramm erstellen und als Bild speichern",i-T_rX8vw_w,6.15,"Aug 06, 2015",195,92,2.12,34.40,3,17,51,0,0,0.00,0,106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
GIMP - Sitzung zurücksetzen,sVbCvjR1XV4,3.82,"Feb 16, 2014",194,145,1.34,35.12,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0
Python-Programmierung - Slicing - Abkürzen erlaubt,aa1Pa2Ht1nY,2.42,"Jul 20, 2011",194,135,1.44,59.46,3,17,24,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Python-Programmierung - subprocess - die Klasse Popen,4j80Yyrb-V0,3.30,"Dec 09, 2013",194,171,1.13,34.36,3,4,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,3,262,1.15,42,262,16.03,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
popcorn.js - Untertitel (subtitle),OjLXMClFyl8,4.87,"Apr 09, 2012",193,126,1.53,31.52,3,3,14,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Python-Programmierung - Iteratoren,D2RlRZK-TmM,7.90,"Jul 03, 2012",188,62,3.03,38.36,3,6,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
OpenLayers 3 - eine Karte auf eine Webseite setzen,3xiI_v9TopE,4.87,"Aug 21, 2015",186,81,2.30,47.16,3,24,49,0,1,0.00,1,69,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,6,7,1,0,0,0
Korora 21 Darla ist da,5G9x71_6MDk,4.05,"Feb 10, 2015",185,123,1.50,37.10,3,14,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,0,0,0,1,3,2,0,0,0
SD-Karte des Raspberry Pi mit dd sichern,3yAjv-ky8io,6.05,"Jan 01, 2014",184,102,1.80,29.82,3,30,40,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,1
Linux - SimpleHTTPServer,4C1GwXR1NLQ,2.72,"May 12, 2012",182,128,1.42,52.37,3,17,22,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debian - Das grundlegende Prinzip der Debian Paketverwaltung (.deb),K9BO5Gt53SU,6.90,"Nov 19, 2013",181,71,2.56,37.05,3,2,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suchen und Finden mit Ack, statt grep",wJc1izhskT8,6.25,"Apr 30, 2014",180,99,1.82,29.17,3,1,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Git für Einsteiger - den ersten Commit vorbereiten,ueOST3eeT8A,5.82,"Feb 12, 2015",177,61,2.90,49.77,3,22,84,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,7,48,14.58,3,48,6.25,48,2,2,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0
Linux - Verschlüsselten Container erstellen (luksformat),Sw_KTl9QxB4,3.97,"Mar 01, 2014",174,109,1.59,40.13,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,166,0.60,6,166,3.61,166,2,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
OpenCV - die Bildgröße ändern,JnXECHW6ZHk,2.90,"Nov 20, 2011",172,140,1.23,42.57,3,6,12,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubuntu Touch - Kalender-App,TwUGk8lEQQ0,3.83,"Mar 13, 2014",170,101,1.68,43.92,3,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
popcorn.js - Hallo Welt,fF9IttGIULg,3.90,"Apr 07, 2012",170,170,1.00,25.63,3,8,19,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
