Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Raspberry Pi - das Betriebssystem installieren - raspbian,qX-galb36Ng,5.98,"Oct 08, 2013",1027,513,2.00,33.47,17,13,53,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,4,1,1,1,0,0,0,1,1,0,2,5,3,1,1,0
Python-Programmierung - while-Schleife,rAh8_41_Xnw,5.98,"May 03, 2011",1018,370,2.75,46.00,17,23,78,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
bottle - GET- und POST-Daten Abfragen,AJORT0b7xWY,5.08,"Jun 07, 2012",974,1071,0.91,17.88,16,21,28,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,2,2,0,1,1,0,0,0,0,0,0,2,5,3,2,2,0
Semplice Linux 7 - Demo,IIVSK_XjOXY,5.33,"Apr 10, 2015",933,800,1.17,21.87,16,24,32,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,1,1,0,0,1,0,0,0,2,5,3,0,0,0
Git für Einsteiger - Was ist Git ?,lVzEQQQGhxI,7.47,"Feb 01, 2015",922,334,2.76,36.97,15,65,236,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,9,44,20.45,0,44,0.00,44,10,10,0,0,0,0,1,2,0,0,0,7,10,3,0,0,0
Python-Programmierung - Zeichenketten näher betrachtet,ZVK8SF2DVHE,5.58,"Sep 04, 2013",886,304,2.92,52.23,15,22,76,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LibreOffice - Writer - AutoText benutzen,GBfx1DSkLkw,3.73,"Apr 12, 2012",835,436,1.92,51.31,14,1,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - ein kleines Beispiel,Zai1wMPsciI,3.53,"Jul 29, 2011",830,565,1.47,41.56,14,35,55,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
KDE Plasma 5.2 - Demo (mit KaOS und Netrunner 15),dLV0Z5VXjVs,6.23,"Feb 16, 2015",823,725,1.14,18.22,14,28,53,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,1,1,0,0,1,0,0,0,3,5,2,0,0,0
Raspberry Pi - pidora installieren,pNB5p138-S8,4.77,"Oct 08, 2013",801,540,1.48,31.11,13,14,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,2,0,0,0,0.00,0,0,0.00,0,1,1,0,3,3,0,0,0,0,0,0,1,2,1,3,3,0
