Date,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Unique cookies (web only),Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Videos published,Videos added,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Jan 29, 2015",684,416,1.64,37.43,259,11,50,79,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,26,0.00,3,26,11.54,26,1,1,5,5,0,0,0,0,0,4,0,0,0,5,5,0,2,3,1
"Jan 30, 2015",456,339,1.34,29.50,239,8,20,21,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,19,5.26,1,19,5.26,19,1,1,3,3,0,0,0,0,0,1,0,0,0,6,9,3,0,1,1
"Jan 31, 2015",718,427,1.68,35.66,251,12,18,40,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,6,0.00,1,6,16.67,6,0,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,2,1,1,0
"Feb 01, 2015",749,446,1.68,35.32,276,12,22,72,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,3,16,18.75,16,1,2,3,3,0,0,0,0,0,1,0,0,0,7,12,5,2,3,1
"Feb 02, 2015",579,362,1.60,32.31,227,10,29,85,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,4,17,23.53,17,1,0,2,2,0,0,0,0,0,1,0,0,0,2,2,0,1,2,1
"Feb 03, 2015",591,360,1.64,33.71,217,10,22,62,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,12,0.00,4,12,33.33,12,1,1,1,1,0,0,0,0,1,5,0,0,0,5,6,1,-2,0,2
"Feb 04, 2015",594,325,1.83,39.16,221,10,36,96,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,13,0.00,2,13,15.38,13,1,1,0,0,0,0,0,0,0,10,0,0,0,4,5,1,2,2,0
"Feb 05, 2015",543,366,1.48,30.79,227,9,13,30,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,22,0.00,6,22,27.27,22,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
"Feb 06, 2015",636,408,1.56,33.43,261,11,12,22,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,11,0.00,0,11,0.00,11,1,1,1,1,0,0,0,0,0,1,0,0,0,4,5,1,0,0,0
"Feb 07, 2015",686,424,1.62,35.35,253,11,24,59,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,2,0.00,0,3,0.00,3,1,1,1,1,0,0,0,0,0,1,0,0,0,7,7,0,3,3,0
