country_name,country_id,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
Peru,PE,214,182,1.2,21.92,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,1,5,20.00,0,5,0.00,5,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4
Chile,CL,203,189,1.1,20.70,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,7,0.00,1,7,14.29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Venezuela,VE,193,128,1.5,27.61,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
Finnland,FI,187,175,1.1,24.16,0,0,0.00,0,10,0.00,1,0,0.00,0,0,0,0,6,0.00,0,7,0.00,7,0,0,0,0,0,0,0,0,4,4,0,1,1,0,3
Malaysia,MY,182,153,1.2,27.03,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,11,0.00,0,11,0.00,11,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
Luxemburg,LU,177,139,1.3,30.21,0,0,0.00,0,15,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dänemark,DK,168,162,1.0,22.27,0,0,0.00,0,6,0.00,1,0,0.00,0,0,0,0,33,0.00,0,33,0.00,33,1,1,0,0,0,0,0,0,2,2,0,0,0,0,3
Ägypten,EG,165,161,1.0,23.52,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,3,3,0,0,0,0,1,1,-1,0,1,3
Saudi-Arabien,SA,152,147,1.0,22.98,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Pakistan,PK,152,163,0.9,20.06,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,8,0.00,3,8,37.50,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Bulgarien,BG,151,140,1.1,20.50,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3
Singapur,SG,150,211,0.7,19.94,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,15,0.00,2,15,13.33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Serbien,RS,148,168,0.9,16.97,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Bangladesch,BD,147,128,1.1,21.84,0,0,0.00,0,5,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Neuseeland,NZ,144,119,1.2,24.10,0,0,0.00,0,2,0.00,1,0,0.00,1,3,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Israel,IL,143,208,0.7,16.92,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,31,0.00,3,31,9.68,31,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2
Norwegen,NO,140,123,1.1,24.61,0,0,0.00,0,5,0.00,1,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ecuador,EC,138,98,1.4,28.34,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,1,0.00,1,1,100.00,1,0,1,1,0,0,0,0,0,0,0,0,-1,0,1,2
Südafrika,ZA,138,93,1.5,25.83,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Slowakei,SK,117,110,1.1,22.96,0,0,0.00,0,1,0.00,1,0,0.00,0,0,0,0,6,0.00,4,6,66.67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tunesien,TN,108,98,1.1,25.97,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,5,0.00,0,5,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Irland,IE,103,105,1.0,19.80,0,0,0.00,0,2,0.00,1,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hongkong,HK,91,96,0.9,19.79,0,0,0.00,0,2,0.00,2,0,0.00,0,0,0,0,7,0.00,0,7,0.00,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Mazedonien (EJR),MK,88,98,0.9,21.18,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
El Salvador,SV,88,54,1.6,29.42,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kroatien,HR,87,102,0.9,17.40,0,2,0.00,2,2,100.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
Belarus,BY,81,89,0.9,17.85,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,6,0.00,0,6,0.00,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Vereinigte Arabische Emirate,AE,76,70,1.1,22.32,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kenia,KE,70,71,1.0,18.58,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dominikanische Republik,DO,64,49,1.3,25.09,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,1,0.00,1,1,100.00,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Bosnien und Herzegowina,BA,63,57,1.1,21.49,0,0,0.00,0,4,0.00,0,0,0.00,0,0,0,0,0,0.00,1,1,100.00,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Kamerun,CM,56,29,1.9,39.63,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
Slowenien,SI,56,54,1.0,24.56,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Irak,IQ,55,66,0.8,17.23,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,1
Sri Lanka,LK,53,43,1.2,24.46,0,0,0.00,0,2,0.00,1,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Bolivien,BO,52,28,1.8,34.30,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paraguay,PY,51,28,1.8,39.75,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Panama,PA,47,41,1.2,28.50,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Costa Rica,CR,47,42,1.1,24.25,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Uruguay,UY,46,39,1.2,26.57,0,0,0.00,0,1,0.00,1,0,0.00,0,0,0,0,1,0.00,1,1,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Litauen,LT,44,65,0.7,15.48,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jemen,YE,42,78,0.5,13.00,0,0,0.00,0,8,0.00,0,0,0.00,0,0,0,0,44,0.00,0,44,0.00,44,0,0,0,0,0,0,0,0,18,36,18,0,0,0,1
Nepal,NP,42,40,1.1,19.40,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lettland,LV,38,39,1.0,18.22,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
Albanien,AL,35,32,1.1,22.08,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Côte d’Ivoire,CI,35,22,1.6,34.47,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kambodscha,KH,34,34,1.0,20.52,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senegal,SN,33,11,3.0,60.22,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estland,EE,31,34,0.9,19.43,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nigeria,NG,31,27,1.2,24.55,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guatemala,GT,30,36,0.8,15.71,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordanien,JO,29,26,1.1,22.60,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Island,IS,28,22,1.3,25.59,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasachstan,KZ,28,30,0.9,21.21,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Tansania,TZ,27,25,1.1,21.70,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zypern,CY,26,22,1.2,26.83,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,5,0.00,0,5,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgien,GE,24,40,0.6,15.22,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenien,AM,24,20,1.2,27.72,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,2,4,50.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republik Moldau,MD,22,29,0.8,16.14,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Syrien,SY,22,20,1.1,24.32,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,QA,22,10,2.2,45.45,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,PR,22,26,0.8,15.94,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malta,MT,22,15,1.4,31.64,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Ghana,GH,21,14,1.5,31.89,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Libanon,LB,20,23,0.9,16.35,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,UG,20,20,1.0,19.41,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Réunion,RE,18,15,1.2,29.25,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,NI,18,16,1.1,17.65,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AO,17,9,1.9,34.72,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,CN,16,18,0.9,17.18,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palästina,PS,15,20,0.8,16.75,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kuwait,KW,14,10,1.4,27.35,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LI,14,13,1.0,21.44,0,0,0.00,0,4,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosambik,MZ,13,3,4.2,63.03,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aserbaidschan,AZ,13,19,0.7,12.59,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,HN,12,14,0.9,14.74,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mongolei,MN,12,15,0.8,19.39,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,MM,12,12,1.0,25.10,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BH,12,4,2.9,71.94,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libyen,LY,12,10,1.2,21.23,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Äthiopien,ET,11,4,2.9,70.92,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simbabwe,ZW,11,6,1.8,36.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaika,JM,11,11,1.0,21.06,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,ME,11,6,1.8,35.17,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Usbekistan,UZ,11,7,1.5,32.44,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,MG,10,9,1.2,31.15,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,BN,10,6,1.7,49.08,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Französisch-Polynesien,PF,10,3,3.3,59.15,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Französisch-Guayana,GF,10,8,1.2,17.58,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,BB,9,1,9.1,100.37,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botsuana,BW,9,6,1.5,37.50,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,MQ,9,4,2.2,35.17,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,JE,8,1,7.6,99.84,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,MC,7,2,3.6,59.69,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,OM,7,7,1.0,26.83,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,MO,7,5,1.3,30.93,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauretanien,MR,6,1,6.4,93.77,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
