video_title,video_id,video_length_minutes,video_created,comments,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_minutes,views,average_view_duration,average_percentage_viewed,watch_time_hours
HTML und CSS - HTML-Elemente,1rjhqpDHGCM,2.47,"Mar 24, 2015",0,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1.1,44.19,0
LibreOffice - Calc - ein neues Tabellenblatt einfügen,1zRCoZ4p1vw,2.38,"Jan 02, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,1,1,0,0,0,66,58,1.1,48.05,1
Linux - Spurenarm Surfen - JonDoFox,22_0jyj_K-o,5.72,"Apr 11, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,193,106,1.8,31.92,3
"pdfinfo - Informationen, Metadaten über ein PDF-Dokument",29Yc1uHQ_SM,2.40,"Feb 16, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,89,73,1.2,50.62,1
SteamOS - automatische Installation verändern,2Enwz5VQ-Zg,2.22,"Dec 16, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.8,35.96,0
Python-Programmierung - Generator-Funktionen,2G6Ie4BlkdA,5.45,"Sep 16, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,1.6,29.09,0
Screencast short 008 - OpenOffice Writer - Text hoch oder tief,2LxvklWj-0w,0.82,"Jan 30, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,4,2,0,0,0,1,1,0.8,99.04,0
ruby - Hallo Welt,2UsOuWG7_xI,2.63,"May 23, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0.8,30.80,0
Python-Programmierung - docstring und pydoc (Dokumentation),2XkOhri__Ew,3.78,"Mar 12, 2017",0,0,0,0.00,0,153,0.00,65,5,7.69,0,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,4,3,0,0,0,303,214,1.4,37.40,5
einfache Karten (Maps) erstellen - Geo-diagramme,2c4c-KjCPJ0,3.67,"Jun 26, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,251,1.3,35.53,5
Ubuntu Touch - Bedienung,2gbtP9YtsYo,5.90,"Mar 10, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1.3,22.22,0
LibreOffice - Dokument automatisch speichern,2tfzxgQ3EE0,1.80,"Aug 10, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,270,268,1.0,55.96,4
Gnome3 - Startprogrammeinstellungen,32KDwWHKyRs,1.27,"Jun 13, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.6,48.37,0
GNOME 3.12 - Demo,38KutCbrNsc,12.12,"Mar 27, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,181,1.6,13.56,5
Screencast short 015 - OpenOffice Writer - Zeichenfarbe,3AXRcouJblQ,0.72,"Jan 30, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0.0,0.00,0
Tails 0.22 - Demo (The Amnesic Incognito Live System),3NnT3cuJEK4,6.12,"Dec 22, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,1,3,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,77,1.1,17.83,1
Linux - Webbrowsing in der Konsole mit links2,3T0rQReakUI,2.30,"Feb 26, 2015",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,0,79,67,1.2,51.51,1
ExTiX 14 - Demo,3cunWQyZYyY,6.00,"Dec 25, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.5,8.43,0
Linux - linux-dash (Web-Dashboard für Linux-Systeme),3gb3z-a7XfA,3.77,"Mar 06, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102,112,0.9,24.17,2
Crontab-Generator hilft beim Erstellen von Cronjobs,3glAwwRhgQk,2.83,"May 21, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,1,1,0,0,0,0,228,167,1.4,48.26,4
Gnome3 - Zoomen,3ihuBQ2MVho,5.62,"Sep 06, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,37,2.0,35.77,1
