Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Git für Einsteiger - Der erste Commit,CaCDWK5PdEI,2.82,"Feb 12, 2015",2,64,95,2,1.48,52.51,24,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,8,50,16.00,4,50,8.00,50,3,3,0,0,0,0,0,0,0,0,4,4,0,-1,0,1
R - RStudio installieren und starten,vCuMhy_Qb-w,3.23,"Feb 06, 2015",2,97,152,3,1.57,48.45,20,38,0,0,0.00,0,75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,4,2,0,0,0
Python-Programmierung - Quelltextanalyse mit pylint,lD8nNJf73lA,3.22,"Feb 13, 2015",2,220,263,4,1.20,37.17,28,52,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,5,8,3,1,1,0
Korora 21 Darla ist da,5G9x71_6MDk,4.05,"Feb 10, 2015",2,123,185,3,1.50,37.10,14,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
LibreOffice - Writer - Editiermodus Einfügen und Überschreiben,dTqDidkFU14,2.07,"Jan 29, 2015",2,118,116,2,0.99,47.72,28,32,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,4,1,-1,0,1
Linux - numlockx - Ziffernblock mittels Befehl aktivieren/deaktivieren, --UlP2332Rs,2.35,"Feb 18, 2014",2,121,148,2,1.22,51.95,3,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
Linux - Verschlüsselten Container erstellen (luksformat),Sw_KTl9QxB4,3.97,"Mar 01, 2014",2,109,174,3,1.59,40.13,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,166,0.60,6,166,3.61,166,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HTML und CSS - Webseite veröffentlichen (Hosting),rnRCYP5dFrY,6.85,"Aug 03, 2015",2,99,285,5,2.88,42.06,15,39,1,1,100.00,0,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,3,2,0,4,4,0,0,0,0,3,4,1,0,0,0
nginx - Installation,aynkdUcW6A8,3.38,"Oct 16, 2012",2,67,103,2,1.53,45.28,2,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Debian 8 ""Jessie"" steht zur Verfügung",yTHx78mQ9us,5.15,"Apr 27, 2015",2,177,305,5,1.73,33.50,47,97,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,1,1,0,0,0,0,0,3,8,5,1,1,0
