date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2016-01-21,495,257,1.9,36.61,1,1,100.00,1,48,2.08,0,0,0.00,0,1,0,1,32,3.12,1,33,3.03,33,,,1,1,0,0,0,0,0,0,1,1,0,0,1,1,8
2016-01-22,303,201,1.5,29.38,0,0,0.00,0,11,0.00,0,0,0.00,2,1,0,0,8,0.00,1,8,12.50,8,,,2,2,0,0,0,0,0,0,0,0,0,1,1,0,5
2016-01-23,277,237,1.2,23.25,0,0,0.00,0,10,0.00,0,0,0.00,0,1,0,0,18,0.00,2,18,11.11,18,,,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,5
2016-01-24,542,397,1.4,25.63,0,0,0.00,0,16,0.00,0,0,0.00,0,0,0,1,14,7.14,0,14,0.00,14,1,1,3,3,0,0,0,0,0,0,8,9,1,0,0,0,9
2016-01-25,536,338,1.6,29.22,0,0,0.00,0,13,0.00,0,0,0.00,1,2,0,1,18,5.56,1,19,5.26,19,,,0,0,0,0,0,0,1,0,0,1,1,2,2,0,9
2016-01-26,433,323,1.3,26.54,0,0,0.00,0,14,0.00,0,0,0.00,0,1,0,0,22,0.00,2,23,8.70,23,,,1,1,0,2,2,0,0,1,0,0,0,1,1,0,7
2016-01-27,405,323,1.3,24.36,0,1,0.00,0,12,0.00,0,0,0.00,1,2,0,0,9,0.00,0,11,0.00,11,,,1,1,0,0,0,0,0,1,-1,1,2,1,1,0,7
2016-01-28,415,302,1.4,27.04,0,0,0.00,0,14,0.00,0,0,0.00,0,0,0,0,9,0.00,0,10,0.00,10,,,2,2,0,0,0,0,1,0,2,2,0,0,0,0,7
2016-01-29,413,282,1.5,28.96,7,17,41.18,10,32,31.25,0,0,0.00,0,1,0,0,17,0.00,3,18,16.67,18,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7
2016-01-30,335,267,1.3,24.31,0,0,0.00,0,18,0.00,0,0,0.00,0,0,0,0,9,0.00,0,9,0.00,9,,,1,1,0,1,1,0,0,0,1,1,0,1,1,0,6
