date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-03-23,687,650,1.1,34.21,0,2,0.00,1,47,2.13,2,0,0.00,6,1,0,0,16,0.00,0,17,0.00,17,1,1,5,5,0,0,0,0,0,1,7,14,7,-1,0,1,11
2017-03-24,460,345,1.3,33.66,0,4,0.00,4,30,13.33,5,0,0.00,0,0,0,0,14,0.00,2,14,14.29,14,0,0,0,0,0,1,1,0,0,0,4,4,0,1,1,0,8
2017-03-25,333,245,1.4,30.32,0,0,0.00,0,23,0.00,3,0,0.00,0,0,0,0,7,0.00,0,7,0.00,7,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,6
2017-03-26,309,238,1.3,29.31,0,2,0.00,1,14,7.14,0,0,0.00,0,0,0,1,16,6.25,4,16,25.00,16,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,5
2017-03-27,352,258,1.4,31.41,0,1,0.00,0,22,0.00,1,0,0.00,1,2,0,0,21,0.00,4,21,19.05,21,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,6
2017-03-28,416,269,1.5,34.11,0,0,0.00,0,33,0.00,0,0,0.00,0,2,0,0,4,0.00,2,4,50.00,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7
2017-03-29,364,251,1.5,31.07,0,0,0.00,0,40,0.00,1,0,0.00,0,1,0,0,7,0.00,1,7,14.29,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
2017-03-30,377,278,1.4,30.91,0,0,0.00,0,20,0.00,3,0,0.00,0,0,0,2,30,6.67,1,30,3.33,30,0,0,0,1,1,0,1,1,0,0,-1,0,1,1,1,0,6
2017-03-31,278,213,1.3,28.90,0,0,0.00,0,20,0.00,0,0,0.00,0,1,0,0,15,0.00,0,15,0.00,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
2017-04-01,248,189,1.3,27.84,0,0,0.00,0,6,0.00,0,0,0.00,1,1,0,0,13,0.00,1,13,7.69,13,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,4
2017-04-02,337,272,1.2,27.94,0,0,0.00,0,19,0.00,1,0,0.00,0,3,0,0,10,0.00,0,10,0.00,10,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6
2017-04-03,483,277,1.7,37.66,0,0,0.00,0,21,0.00,1,0,0.00,4,5,0,4,50,8.00,0,50,0.00,50,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,8
2017-04-04,359,241,1.5,31.74,0,2,0.00,2,19,10.53,2,0,0.00,4,1,0,0,13,0.00,0,13,0.00,13,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,6
2017-04-05,389,272,1.4,32.52,0,0,0.00,0,10,0.00,0,0,0.00,0,0,0,0,8,0.00,2,8,25.00,8,0,0,1,1,0,0,0,0,0,0,2,2,0,1,1,0,6
2017-04-06,466,347,1.3,31.73,0,0,0.00,0,26,0.00,0,0,0.00,0,0,0,0,14,0.00,0,14,0.00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2017-04-07,383,254,1.5,34.23,0,0,0.00,0,12,0.00,1,0,0.00,0,0,0,0,9,0.00,2,9,22.22,9,0,0,2,3,1,0,1,1,0,0,5,5,0,0,0,0,6
2017-04-08,324,212,1.5,30.60,0,0,0.00,0,23,0.00,0,0,0.00,2,3,0,0,3,0.00,0,4,0.00,4,0,0,1,1,0,1,1,0,1,0,3,3,0,0,0,0,5
2017-04-09,310,238,1.3,29.39,0,0,0.00,0,9,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,5
2017-04-10,423,292,1.4,30.80,0,0,0.00,0,21,0.00,3,0,0.00,1,1,0,0,9,0.00,2,10,20.00,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-04-11,388,246,1.6,37.06,0,0,0.00,0,17,0.00,0,0,0.00,2,2,0,0,6,0.00,1,6,16.67,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6
2017-04-12,371,253,1.5,29.59,0,2,0.00,1,20,5.00,1,0,0.00,0,0,0,0,4,0.00,1,4,25.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-04-13,419,271,1.5,32.56,0,2,0.00,2,33,6.06,1,0,0.00,0,0,0,0,12,0.00,2,13,15.38,13,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,7
2017-04-14,354,248,1.4,30.48,0,0,0.00,0,16,0.00,0,0,0.00,0,0,0,0,3,0.00,2,3,66.67,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6
2017-04-15,249,196,1.3,27.70,0,0,0.00,0,5,0.00,1,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
2017-04-16,318,240,1.3,29.88,0,0,0.00,0,14,0.00,0,0,0.00,0,1,0,0,10,0.00,0,10,0.00,10,0,0,0,0,0,0,0,0,0,0,-1,1,2,0,0,0,5
2017-04-17,429,275,1.6,34.21,0,0,0.00,0,38,0.00,0,0,0.00,3,2,0,0,6,0.00,3,6,50.00,6,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,7
2017-04-18,441,283,1.6,34.41,0,0,0.00,0,28,0.00,2,0,0.00,2,2,0,0,19,0.00,1,19,5.26,19,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,0,7
2017-04-19,477,294,1.6,33.60,0,0,0.00,0,25,0.00,2,0,0.00,4,2,0,0,2,0.00,0,2,0.00,2,1,1,4,4,0,0,0,0,0,0,8,8,0,0,0,0,8
2017-04-20,410,289,1.4,30.86,0,0,0.00,0,31,0.00,3,0,0.00,0,0,0,0,9,0.00,0,9,0.00,9,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,7
2017-04-21,375,253,1.5,31.93,0,0,0.00,0,21,0.00,1,0,0.00,3,3,0,0,14,0.00,1,14,7.14,14,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,6
2017-04-22,321,238,1.3,29.00,0,0,0.00,0,16,0.00,0,0,0.00,3,2,0,0,19,0.00,0,19,0.00,19,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2,5
2017-04-23,344,246,1.4,30.24,0,0,0.00,0,19,0.00,1,0,0.00,0,0,0,0,19,0.00,0,19,0.00,19,0,0,0,0,0,0,0,0,0,0,-2,1,3,0,0,0,6
2017-04-24,418,288,1.5,32.71,0,2,0.00,1,30,3.33,2,0,0.00,1,1,0,2,16,12.50,0,18,0.00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
2017-04-25,376,277,1.4,30.00,0,0,0.00,0,36,0.00,3,0,0.00,0,0,0,0,10,0.00,0,10,0.00,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-04-26,430,274,1.6,33.76,0,0,0.00,0,51,0.00,0,0,0.00,0,0,0,0,6,0.00,0,6,0.00,6,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,7
2017-04-27,370,294,1.3,28.49,0,0,0.00,0,18,0.00,0,0,0.00,0,1,0,0,3,0.00,1,3,33.33,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
2017-04-28,338,215,1.6,33.42,0,2,0.00,2,31,6.45,0,0,0.00,1,1,0,0,19,0.00,2,19,10.53,19,0,0,1,1,0,0,0,0,1,0,5,5,0,0,0,0,6
2017-04-29,228,193,1.2,24.91,0,3,0.00,1,18,5.56,0,0,0.00,0,0,0,0,9,0.00,2,9,22.22,9,0,0,1,1,0,0,0,0,0,1,-1,0,1,0,0,0,4
2017-04-30,263,193,1.4,29.07,0,0,0.00,0,21,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4
2017-05-01,370,259,1.4,30.74,0,0,0.00,0,34,0.00,0,0,0.00,0,1,0,0,10,0.00,0,10,0.00,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
2017-05-02,374,254,1.5,31.05,0,0,0.00,0,20,0.00,1,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
2017-05-03,357,273,1.3,29.67,0,0,0.00,0,19,0.00,1,0,0.00,0,1,0,0,17,0.00,1,18,5.56,18,0,0,1,1,0,0,0,0,1,0,4,5,1,0,0,0,6
2017-05-04,287,220,1.3,28.91,0,3,0.00,1,12,8.33,0,0,0.00,1,1,0,0,9,0.00,1,9,11.11,9,0,0,0,0,0,0,0,0,1,0,1,1,0,-1,0,1,5
2017-05-05,341,229,1.5,31.92,0,0,0.00,0,16,0.00,0,0,0.00,0,0,0,0,10,0.00,0,10,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
2017-05-06,296,208,1.4,32.68,0,3,0.00,1,17,5.88,0,0,0.00,5,3,0,0,17,0.00,2,17,11.76,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5
2017-05-07,368,283,1.3,28.35,0,0,0.00,0,24,0.00,1,0,0.00,1,1,0,0,9,0.00,3,10,30.00,10,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,6
2017-05-08,419,271,1.5,34.48,0,0,0.00,0,32,0.00,0,0,0.00,0,0,0,0,9,0.00,1,9,11.11,9,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,7
2017-05-09,338,252,1.3,30.14,0,0,0.00,0,16,0.00,0,0,0.00,0,0,0,0,8,0.00,0,9,0.00,9,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,1,1,6
2017-05-10,360,237,1.5,32.44,0,0,0.00,0,17,0.00,0,0,0.00,0,0,0,0,9,0.00,3,9,33.33,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-05-11,493,260,1.9,40.01,0,0,0.00,0,36,0.00,1,0,0.00,0,0,0,2,36,5.56,2,38,5.26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2017-05-12,245,200,1.2,26.21,0,0,0.00,0,22,0.00,0,0,0.00,0,0,0,0,15,0.00,1,15,6.67,15,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,4
2017-05-13,351,233,1.5,33.14,0,3,0.00,1,28,3.57,0,0,0.00,0,0,0,0,23,0.00,0,23,0.00,23,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,0,6
2017-05-14,334,212,1.6,33.88,0,0,0.00,0,14,0.00,0,0,0.00,1,1,0,0,2,0.00,0,4,0.00,4,0,0,1,1,0,0,0,0,0,2,1,1,0,-1,0,1,6
