Video,Video ID,Video length (minutes),Video created,Likes,Dislikes,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes added,Likes removed,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Linux - Programme finden - which, whereis und type",pgnpEI3QGiU,2.38,"Aug 25, 2015",3,0,51,68,1,1.32,55.56,25,37,0,0,0.00,0,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,0,0,0,0,4,6,2,1,1,0
Git für Einsteiger - Branches mergen,ChSt1ozMlVA,3.57,"Aug 29, 2015",3,0,46,62,1,1.35,37.98,22,24,1,2,50.00,1,42,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,2,1,1,0,4,4,0,0,0,0
Git für Einsteiger - Der erste Commit,CaCDWK5PdEI,2.82,"Feb 12, 2015",3,0,64,95,2,1.48,52.51,24,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,8,50,16.00,4,50,8.00,50,3,0,0,0,0,2,0,0,0,4,4,0,-1,0,1
Raspberry Pi - arkos installieren (Self-Hosting ganz einfach),_-eE1HDBGuI,5.68,"Nov 06, 2013",3,1,1543,2459,41,1.59,28.05,16,44,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,17,1195,1.42,423,1195,35.40,1195,3,0,1,0,1,0,1,1,0,5,10,5,0,0,0
"Python-Programmierung - Das erste ""nützliche"" Programm",V9XBq57NrIw,5.50,"Sep 04, 2013",3,1,1658,4005,67,2.42,43.92,57,178,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,1,0,0,1,0,0,0,2,4,2,-1,0,1
Vivaldi Browser (Linux),zGdD0NcQCOw,3.03,"Feb 18, 2015",3,0,156,167,3,1.07,35.22,23,47,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,1,0,0,0,3,5,2,1,1,0
Gnome - einfache Bildschirmaufnahmen mit EasyScreenCast (Linux), -JFC6J8rg5Q,3.08,"Jun 27, 2015",3,0,76,113,2,1.49,48.34,33,52,0,0,0.00,0,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,1,0,0,0,4,7,3,0,0,0
"Debian 8 ""Jessie"" steht zur Verfügung",yTHx78mQ9us,5.15,"Apr 27, 2015",3,1,177,305,5,1.73,33.50,47,97,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,1,0,0,2,0,0,0,3,8,5,1,1,0
Fedora 22 Beta Workstation - Demo,H-vRMrdTYb0,6.52,"Apr 23, 2015",3,2,1026,1259,21,1.23,18.82,21,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,2,0,0,1,0,0,0,5,11,6,1,1,0
Vivaldi Browser - Demo,hb1dSzT5EnA,10.72,"Feb 18, 2015",2,0,318,380,6,1.20,11.16,28,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,1,0,0,0,2,7,5,0,0,0
